POLLSTER,LINK,START DATE,END DATE,SAMPLE SIZE,MOE,TRUMP (R),HARRIS (D),KENNEDY (I),"TRUMP AVERAGE 
(14-day rolling)","HARRIS AVERAGE
(14-day rolling)","KENNEDY AVERAGE
(14-day rolling)","AVERAGE SPREAD
(14-day rolling)"
Rasmussen Reports,,2024-07-24,2024-07-31,2163 LV,2,46,45,5,44.05,43.05,6.03,Trump +1.00
YouGov/The Economist,,2024-07-27,2024-07-30,1430 RV,-,44,46,3,43.98,42.97,6.06,Trump +1.01
Economist/YouGov,,2024-07-27,2024-07-30,1434 RV,3.1,44,46,3,43.98,42.97,6.06,Trump +1.01
Big Data/Public Poll,,2024-07-28,2024-07-30,3097 RV,-,43.8,43,5.8,43.98,42.97,6.06,Trump +1.01
McLaughlin & Associa,,2024-07-23,2024-07-29,1000 LV,-,42,41,8,43.98,42.57,6.28,Trump +1.41
ActiVote,,2024-07-24,2024-07-29,1000 LV,-,45.5,44.3,10.3,43.98,42.57,6.28,Trump +1.41
American Pulse Resea,,2024-07-26,2024-07-29,1035 LV,-,46.7,46.2,3.1,43.98,42.57,6.28,Trump +1.41
Redfield & Wilton St,,2024-07-29,2024-07-29,1750 LV,-,43,45,5,43.98,42.57,6.28,Trump +1.41
HarrisX/Harris Poll,,2024-07-26,2024-07-28,2196 RV,-,47,43,7,43.92,42.28,6.21,Trump +1.64
Harvard-Harris,,2024-07-26,2024-07-28,2196 RV,2.1,47,43,8,43.92,42.28,6.21,Trump +1.64
Leger,,2024-07-26,2024-07-28,797 LV,-,41,48,5,43.92,42.28,6.21,Trump +1.64
Florida Atlantic Uni,,2024-07-26,2024-07-27,997 RV,-,42,43,9,43.51,41.47,6.36,Trump +2.04
Fabrizio Lee/GBAO/Wa,,2024-07-23,2024-07-25,1000 RV,-,44,45,4,43.61,41.1,6.2,Trump +2.51
AtlasIntel,,2024-07-23,2024-07-25,1980 RV,-,47.7,46.1,4.5,43.61,41.1,6.2,Trump +2.51
Forbes/HarrisX,,2024-07-22,2024-07-25,3013 RV,1.8,44,44,10,43.61,41.1,6.2,Trump +2.51
Rasmussen Reports,,2024-07-22,2024-07-24,1074 LV,-,49,42,4,43.31,40.36,6.21,Trump +2.95
NY Times/Siena,,2024-07-22,2024-07-24,1142 LV,-,43,44,5,43.31,40.36,6.21,Trump +2.95
Big Village,,2024-07-22,2024-07-24,1687 RV,-,41.6,40.5,7,43.31,40.36,6.21,Trump +2.95
SurveyMonkey/The 19t,,2024-07-22,2024-07-24,5265 A,-,39,38,6,43.31,40.36,6.21,Trump +2.95
Ipsos/Reuters,,2024-07-22,2024-07-23,1018 RV,-,38,42,8,43.36,40.11,6.44,Trump +3.25
YouGov/The Times of,,2024-07-22,2024-07-23,1154 LV,-,46,44,4,43.36,40.11,6.44,Trump +3.25
YouGov/The Economist,,2024-07-21,2024-07-23,1435 RV,-,44,41,5,43.36,40.11,6.44,Trump +3.25
RMG Research,,2024-07-22,2024-07-23,2000 RV,-,48,46,2,43.36,40.11,6.44,Trump +3.25
Marist College Poll,,2024-07-22,2024-07-22,1117 RV,-,42,42,7,42.92,38.48,7.03,Trump +4.44
YouGov/Yahoo News,,2024-07-19,2024-07-22,1178 RV,-,43,41,5,42.92,38.48,7.03,Trump +4.44
Quinnipiac Universit,,2024-07-19,2024-07-21,1257 RV,-,45,41,6,43.16,37.54,7.41,Trump +5.62
Florida Atlantic Uni,,2024-07-19,2024-07-21,780 RV,-,44.1,38.2,10,43.16,37.54,7.41,Trump +5.62
SoCal Research/On Po,,2024-07-21,2024-07-21,800 RV,-,43,37,9,43.16,37.54,7.41,Trump +5.62
YouGov/The Economist,,2024-07-13,2024-07-16,1404 RV,-,44,39,5,42.64,36.82,6.86,Trump +5.82
Big Village/Caravan,,2024-07-12,2024-07-14,1698 RV,-,39.2,34.1,10.3,42.3,36.28,7.33,Trump +6.02
Manhattan Institute,,2024-07-07,2024-07-13,2100 LV,-,44,36,6,43.25,37.25,8.75,Trump +6.00
YouGov/The Economist,,2024-07-07,2024-07-09,1443 RV,-,42,38,5,43,37.67,9.67,Trump +5.33
Redfield & Wilton St,,2024-07-08,2024-07-08,1500 RV,-,44,37,8,43.5,37.5,12,Trump +6.00
Forbes/HarrisX,,2024-06-28,2024-06-30,1500 RV,2.5,43,38,16,43,38,16,Trump +5.00